id;ma_cdt;so_quyet_dinh;ngay_quyet_dinh;so_hd;ngay_hd;ly_do_ct;noi_dung;noi_cong_tac;ngay_bat_dau;ngay_ket_thuc;ghi_chu;noi_dung_ho_tro;bao_cao_tai_chinh
1;71074;10980;2022-06-07T00:53:34;2556;2022-06-07T01:18:55;Wooden Soft bandwidth;mindshare Orchestrator;harness Lights Chair;2022-06-06T18:37:22;2022-06-07T08:11:20;panel;48591;91857
2;32098;40371;2022-06-06T21:53:37;87964;2022-06-06T23:08:46;Vista Peso;Public-key Director;withdrawal;2022-06-06T19:57:24;2022-06-06T21:43:27;generating;7723;4746
3;48104;57424;2022-06-06T10:32:08;79066;2022-06-06T09:28:20;Bedfordshire;Technician;compressing Toys paradigm;2022-06-07T05:28:08;2022-06-06T17:09:02;front-end Internal;37459;97310
4;63923;64776;2022-06-06T20:10:10;96643;2022-06-06T17:09:50;wireless Mouse;matrices;Soap hacking;2022-06-07T01:31:52;2022-06-07T01:36:05;Bedfordshire Metrics invoice;26155;43735
5;66148;478;2022-06-07T08:39:47;83687;2022-06-06T09:54:04;SMS Creative;generate Estates;Mobility Verde;2022-06-07T05:38:08;2022-06-06T12:22:35;Cheese one-to-one;35378;9290
6;83260;86691;2022-06-06T09:44:13;65713;2022-06-06T21:01:11;deposit;Berkshire;Innovative compressing Executive;2022-06-06T19:18:16;2022-06-07T03:52:16;bricks-and-clicks;28794;99834
7;77011;99835;2022-06-07T08:22:15;89915;2022-06-06T16:24:36;Dram CSS;blockchains deposit;hack;2022-06-07T07:22:53;2022-06-06T18:21:53;Gloves;19551;9369
8;34294;1342;2022-06-06T11:25:39;15316;2022-06-06T11:44:34;New Steel;Peso;payment;2022-06-06T17:23:48;2022-06-06T23:52:35;Wooden;42502;44361
9;32356;41122;2022-06-07T06:35:47;59938;2022-06-07T00:22:38;Summit function;card;Money;2022-06-07T05:58:49;2022-06-07T01:50:56;Korea;72879;48295
10;96901;20157;2022-06-07T07:01:40;54994;2022-06-07T01:12:58;Fantastic Garden invoice;Licensed;Wooden transition;2022-06-06T13:47:02;2022-06-06T23:42:35;grey;63164;50268
