id;ma_noi_dung;ngay_tao;nhan_vien_cv;ky_thuat_ho_tro;vat_tu_ho_tro;so_bn_kham_dieu_tri;so_bn_phau_thuat;so_can_bo_chuyen_giao;ket_qua_cong_tac
1;47270;2022-06-07T09:14:05;Dynamic withdrawal value-added;Metal;Savings Auto indexing;55447;79882;88478;Handmade
2;37218;2022-06-07T15:38:23;Small;niches;Kuna;32135;31693;35417;seamless Bedfordshire
3;53880;2022-06-08T00:46:53;Granite reinvent Utah;Harbor;silver Table bluetooth;7171;23469;37549;firewall parsing
4;31267;2022-06-08T01:27:14;Mexico generation;revolutionary;Solutions;24143;26072;83838;Shoes payment Senior
5;7359;2022-06-07T22:29:59;Factors Soap Checking;sky tangible engineer;Fantastic Drives Avon;76115;1454;8542;synthesize Research
6;57130;2022-06-08T00:41:17;Optimization Graphic online;Frozen Concrete;customer;19562;20599;34241;Meadow quantify
7;77150;2022-06-07T07:00:04;West payment cross-platform;Music Colorado Direct;Quality;62906;34351;92644;monitor
8;65271;2022-06-07T12:32:44;Mexico generating;Towels Rupee;Division JBOD;87700;79801;93288;Table Handmade context-sensitive
9;62986;2022-06-07T16:35:20;Movies;Accounts;withdrawal Supervisor user-centric;91519;31602;6604;brand Avon Vietnam
10;27911;2022-06-07T11:58:50;PNG Rustic schemas;Optimized;synthesizing Tools Delaware;62268;25781;50424;deposit function Practical
