id;ma_ket_qua;ten_ket_qua;thu_tu_sx
1;National brand;Avon Cambridgeshire Down-sized;Home
2;Officer Awesome;disintermediate Indiana;algorithm
3;reinvent;Fresh Walks;Cheese
4;COM panel;Savings Borders Berkshire;strategize
5;Developer;SMS;Freeway
6;Chips Causeway;Avon Bedfordshire;state Cotton Handcrafted
7;Usability transmitter port;Paradigm withdrawal;Planner task-force
8;indigo sky Borders;human-resource;JSON Creative functionalities
9;Dollar web;firewall;Auto withdrawal Metal
10;Causeway Internal;Gorgeous Metrics;Re-contextualized
