id;ma_ly_do;ten_ly_do;thu_tu_sx
1;programming;haptic District;secured neural olive
2;Manager;Exclusive Gorgeous;calculate Enhanced Avon
3;leading-edge iterate;Berkshire;Plastic Cambridgeshire
4;calculating;Kiribati;TCP
5;Bahrain;connecting customized withdrawal;Creative
6;Switchable TCP deliverables;Sleek multi-byte circuit;strategy
7;lime radical Russian;driver sexy;Loan
8;Cambridgeshire program integrate;enterprise blue;Direct Ameliorated
9;asymmetric SQL;Dinar Rial embrace;system solution
10;Australia Generic;Berkshire;application
