id;ma_vat_tu;ten_vat_tu;thu_tu_sx
1;withdrawal generating;bandwidth Buckinghamshire Steel;invoice
2;Liaison Steel engine;SCSI;XSS Loan Applications
3;context-sensitive Account Incredible;Lari El Slovenia;Global International
4;hack;Islands calculating;Marketing web
5;Books Soft IB;Club;Buckinghamshire Refined Buckinghamshire
6;Avon AGP haptic;Mountains Metrics Metrics;product
7;deposit Pants Mauritanie;Gorgeous neutral;grid-enabled
8;navigate;IB Salad Handmade;Avon Strategist transmit
9;Administrator;global;neural JSON
10;Technician Extension;circuit solution Handcrafted;workforce
